
 ---------------------------------- 
< Line , obs , pre1 , pre2 >
< 1    , pos , pos  , pos  >
< 2    , pos , neutre  , pos  >
< 3    , pos , neutre  , pos  >
< 4    , pos , neutre  , pos  >
< 5    , pos , pos  , pos  >
< 6    , pos , neutre  , pos  >
< 7    , neg , neutre  , pos  >
< 8    , pos , neutre  , pos  >
< 9    , pos , neutre  , pos  >
< 10    , pos , pos  , pos  >
< 11    , pos , neutre  , pos  >
< 12    , neutre , neutre  , pos  >
< 13    , neutre , neutre  , pos  >
< 14    , neg , neutre  , pos  >
< 15    , pos , neutre  , pos  >
< 16    , neutre , neutre  , pos  >
< 17    , pos , pos  , pos  >
< 18    , pos , neutre  , pos  >
< 19    , neg , neg  , pos  >
< 20    , pos , neutre  , pos  >
< 21    , pos , pos  , pos  >
< 22    , neg , neg  , pos  >
< 23    , neg , neutre  , pos  >
< 24    , pos , pos  , pos  >
< 25    , neutre , neg  , pos  >
< 26    , neutre , neg  , pos  >
< 27    , pos , neutre  , pos  >
< 28    , pos , neutre  , pos  >
< 29    , pos , neutre  , pos  >
< 30    , pos , pos  , pos  >
< 31    , pos , pos  , pos  >
< 32    , neutre , pos  , pos  >
< 33    , neg , pos  , pos  >
< 34    , neutre , neutre  , pos  >
< 35    , pos , pos  , pos  >
< 36    , pos , neutre  , pos  >
< 37    , pos , pos  , pos  >
< 38    , pos , neutre  , pos  >
< 39    , neg , neg  , pos  >
< 40    , pos , pos  , pos  >
< 41    , neg , neutre  , pos  >
< 42    , pos , pos  , pos  >
< 43    , pos , pos  , pos  >
< 44    , pos , neutre  , pos  >
< 45    , neg , neg  , neg  >
< 46    , pos , pos  , pos  >
< 47    , pos , neg  , pos  >
< 48    , pos , neutre  , pos  >
< 49    , neg , neg  , pos  >
< 50    , neg , pos  , pos  >
< 51    , pos , neutre  , pos  >
< 52    , pos , neg  , pos  >
< 53    , neutre , neutre  , pos  >
< 54    , pos , neutre  , pos  >
< 55    , pos , neg  , pos  >
< 56    , pos , neutre  , pos  >
< 57    , neg , neutre  , pos  >
< 58    , pos , neutre  , pos  >
< 59    , pos , neutre  , pos  >
< 60    , neg , neg  , pos  >
< 61    , pos , pos  , pos  >
< 62    , pos , neutre  , pos  >
< 63    , pos , neutre  , pos  >
< 64    , pos , neutre  , pos  >
< 65    , neg , neutre  , pos  >
< 66    , neutre , neg  , pos  >
< 67    , pos , neg  , pos  >
< 68    , pos , neutre  , pos  >
< 69    , pos , neutre  , pos  >
< 70    , neutre , pos  , pos  >
< 71    , pos , pos  , pos  >
< 72    , pos , pos  , pos  >
< 73    , pos , pos  , pos  >
< 74    , pos , pos  , pos  >
< 75    , neg , neg  , pos  >
< 76    , neutre , neutre  , pos  >
< 77    , pos , neutre  , pos  >
< 78    , pos , neutre  , pos  >
< 79    , pos , pos  , pos  >
< 80    , neutre , neutre  , neg  >
< 81    , neutre , neutre  , pos  >
< 82    , neg , neg  , pos  >
< 83    , pos , pos  , pos  >
< 84    , pos , neutre  , pos  >
< 85    , neg , neg  , pos  >
< 86    , pos , neutre  , pos  >
< 87    , pos , neutre  , neutre  >
< 88    , pos , pos  , pos  >
< 89    , pos , neutre  , pos  >
< 90    , pos , neutre  , pos  >
< 91    , pos , neutre  , pos  >
< 92    , pos , pos  , pos  >
< 93    , neg , neutre  , pos  >
< 94    , pos , neutre  , neg  >
< 95    , pos , neutre  , pos  >
< 96    , pos , pos  , pos  >
< 97    , pos , neutre  , pos  >
< 98    , pos , pos  , pos  >
< 99    , pos , pos  , pos  >
< 100    , pos , neutre  , pos  >
< 101    , neutre , neutre  , pos  >
< 102    , pos , neutre  , pos  >
< 103    , pos , neutre  , pos  >
< 104    , pos , neutre  , neg  >
< 105    , neutre , neutre  , pos  >
< 106    , pos , neutre  , pos  >
< 107    , neg , neutre  , pos  >
< 108    , neutre , neutre  , neg  >
< 109    , pos , neutre  , pos  >
< 110    , pos , neutre  , pos  >
< 111    , neutre , neutre  , neg  >
< 112    , pos , pos  , pos  >
< 113    , pos , pos  , pos  >
< 114    , pos , neutre  , pos  >
